Pathway1_level	Pathway1	Pathway2_level	Pathway2	Pathway3_level	Pathway3
ko09100	Metabolism	ko09103	Lipid metabolism	ko00600	Sphingolipid metabolism [PATH:ko00600]
ko09100	Metabolism	ko09103	Lipid metabolism	ko01040	Biosynthesis of unsaturated fatty acids [PATH:ko01040]
ko09100	Metabolism	ko09104	Nucleotide metabolism	ko00230	Purine metabolism [PATH:ko00230]
ko09100	Metabolism	ko09104	Nucleotide metabolism	ko00240	Pyrimidine metabolism [PATH:ko00240]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00220	Arginine biosynthesis [PATH:ko00220]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00280	Valine, leucine and isoleucine degradation [PATH:ko00280]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00300	Lysine biosynthesis [PATH:ko00300]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00310	Lysine degradation [PATH:ko00310]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00330	Arginine and proline metabolism [PATH:ko00330]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00340	Histidine metabolism [PATH:ko00340]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00350	Tyrosine metabolism [PATH:ko00350]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00360	Phenylalanine metabolism [PATH:ko00360]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00380	Tryptophan metabolism [PATH:ko00380]
ko09100	Metabolism	ko09105	Amino acid metabolism	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00410	beta-Alanine metabolism [PATH:ko00410]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00430	Taurine and hypotaurine metabolism [PATH:ko00430]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00440	Phosphonate and phosphinate metabolism [PATH:ko00440]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00450	Selenocompound metabolism [PATH:ko00450]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00471	D-Glutamine and D-glutamate metabolism [PATH:ko00471]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00472	D-Arginine and D-ornithine metabolism [PATH:ko00472]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00473	D-Alanine metabolism [PATH:ko00473]
ko09100	Metabolism	ko09106	Metabolism of other amino acids	ko00480	Glutathione metabolism [PATH:ko00480]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00510	N-Glycan biosynthesis [PATH:ko00510]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00511	Other glycan degradation [PATH:ko00511]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00512	Mucin type O-glycan biosynthesis [PATH:ko00512]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00513	Various types of N-glycan biosynthesis [PATH:ko00513]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00514	Other types of O-glycan biosynthesis [PATH:ko00514]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00515	Mannose type O-glycan biosynthesis [PATH:ko00515]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00531	Glycosaminoglycan degradation [PATH:ko00531]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00533	Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00571	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00572	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]
ko09100	Metabolism	ko09107	Glycan biosynthesis and metabolism	ko00604	Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00670	One carbon pool by folate [PATH:ko00670]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00730	Thiamine metabolism [PATH:ko00730]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00740	Riboflavin metabolism [PATH:ko00740]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00750	Vitamin B6 metabolism [PATH:ko00750]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00780	Biotin metabolism [PATH:ko00780]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00785	Lipoic acid metabolism [PATH:ko00785]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00790	Folate biosynthesis [PATH:ko00790]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00830	Retinol metabolism [PATH:ko00830]
ko09100	Metabolism	ko09108	Metabolism of cofactors and vitamins	ko00860	Porphyrin and chlorophyll metabolism [PATH:ko00860]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00253	Tetracycline biosynthesis [PATH:ko00253]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00281	Geraniol degradation [PATH:ko00281]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides [PATH:ko00522]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00523	Polyketide sugar unit biosynthesis [PATH:ko00523]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00902	Monoterpenoid biosynthesis [PATH:ko00902]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00903	Limonene and pinene degradation [PATH:ko00903]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00904	Diterpenoid biosynthesis [PATH:ko00904]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00905	Brassinosteroid biosynthesis [PATH:ko00905]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00906	Carotenoid biosynthesis [PATH:ko00906]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00908	Zeatin biosynthesis [PATH:ko00908]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00909	Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko00981	Insect hormone biosynthesis [PATH:ko00981]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01051	Biosynthesis of ansamycins [PATH:ko01051]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01052	Type I polyketide structures [PATH:ko01052]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01053	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01054	Nonribosomal peptide structures [PATH:ko01054]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01055	Biosynthesis of vancomycin group antibiotics [PATH:ko01055]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01056	Biosynthesis of type II polyketide backbone [PATH:ko01056]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01057	Biosynthesis of type II polyketide products [PATH:ko01057]
ko09100	Metabolism	ko09109	Metabolism of terpenoids and polyketides	ko01059	Biosynthesis of enediyne antibiotics [PATH:ko01059]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00231	Puromycin biosynthesis [PATH:ko00231]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00232	Caffeine metabolism [PATH:ko00232]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00254	Aflatoxin biosynthesis [PATH:ko00254]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00261	Monobactam biosynthesis [PATH:ko00261]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00311	Penicillin and cephalosporin biosynthesis [PATH:ko00311]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00331	Clavulanic acid biosynthesis [PATH:ko00331]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00332	Carbapenem biosynthesis [PATH:ko00332]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00333	Prodigiosin biosynthesis [PATH:ko00333]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00401	Novobiocin biosynthesis [PATH:ko00401]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00402	Benzoxazinoid biosynthesis [PATH:ko00402]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00403	Indole diterpene alkaloid biosynthesis [PATH:ko00403]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00404	Staurosporine biosynthesis [PATH:ko00404]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00405	Phenazine biosynthesis [PATH:ko00405]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00521	Streptomycin biosynthesis [PATH:ko00521]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00524	Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00525	Acarbose and validamycin biosynthesis [PATH:ko00525]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00901	Indole alkaloid biosynthesis [PATH:ko00901]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00940	Phenylpropanoid biosynthesis [PATH:ko00940]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00941	Flavonoid biosynthesis [PATH:ko00941]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00942	Anthocyanin biosynthesis [PATH:ko00942]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00943	Isoflavonoid biosynthesis [PATH:ko00943]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00944	Flavone and flavonol biosynthesis [PATH:ko00944]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00950	Isoquinoline alkaloid biosynthesis [PATH:ko00950]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00965	Betalain biosynthesis [PATH:ko00965]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00966	Glucosinolate biosynthesis [PATH:ko00966]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko00999	Biosynthesis of secondary metabolites - unclassified [PATH:ko00999]
ko09100	Metabolism	ko09110	Biosynthesis of other secondary metabolites	ko01058	Acridone alkaloid biosynthesis [PATH:ko01058]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00361	Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00362	Benzoate degradation [PATH:ko00362]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00363	Bisphenol degradation [PATH:ko00363]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00364	Fluorobenzoate degradation [PATH:ko00364]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00365	Furfural degradation [PATH:ko00365]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00621	Dioxin degradation [PATH:ko00621]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00622	Xylene degradation [PATH:ko00622]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00623	Toluene degradation [PATH:ko00623]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00624	Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00625	Chloroalkane and chloroalkene degradation [PATH:ko00625]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00626	Naphthalene degradation [PATH:ko00626]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00627	Aminobenzoate degradation [PATH:ko00627]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00633	Nitrotoluene degradation [PATH:ko00633]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00642	Ethylbenzene degradation [PATH:ko00642]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00643	Styrene degradation [PATH:ko00643]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00791	Atrazine degradation [PATH:ko00791]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00930	Caprolactam degradation [PATH:ko00930]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00980	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00982	Drug metabolism - cytochrome P450 [PATH:ko00982]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
ko09100	Metabolism	ko09111	Xenobiotics biodegradation and metabolism	ko00984	Steroid degradation [PATH:ko00984]
ko09100	Metabolism	ko09112	Not included in regular maps	ko09113	Global maps only
ko09120	Genetic Information Processing	ko09121	Transcription	ko03020	RNA polymerase [PATH:ko03020]
ko09120	Genetic Information Processing	ko09121	Transcription	ko03022	Basal transcription factors [PATH:ko03022]
ko09120	Genetic Information Processing	ko09121	Transcription	ko03040	Spliceosome [PATH:ko03040]
ko09120	Genetic Information Processing	ko09122	Translation	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
ko09120	Genetic Information Processing	ko09122	Translation	ko03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]
ko09120	Genetic Information Processing	ko09122	Translation	ko03010	Ribosome [PATH:ko03010]
ko09120	Genetic Information Processing	ko09122	Translation	ko03013	RNA transport [PATH:ko03013]
ko09120	Genetic Information Processing	ko09122	Translation	ko03015	mRNA surveillance pathway [PATH:ko03015]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko03018	RNA degradation [PATH:ko03018]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko03050	Proteasome [PATH:ko03050]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko03060	Protein export [PATH:ko03060]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko04120	Ubiquitin mediated proteolysis [PATH:ko04120]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko04122	Sulfur relay system [PATH:ko04122]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko04130	SNARE interactions in vesicular transport [PATH:ko04130]
ko09120	Genetic Information Processing	ko09123	Folding, sorting and degradation	ko04141	Protein processing in endoplasmic reticulum [PATH:ko04141]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03030	DNA replication [PATH:ko03030]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03410	Base excision repair [PATH:ko03410]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03420	Nucleotide excision repair [PATH:ko03420]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03430	Mismatch repair [PATH:ko03430]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03440	Homologous recombination [PATH:ko03440]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03450	Non-homologous end-joining [PATH:ko03450]
ko09120	Genetic Information Processing	ko09124	Replication and repair	ko03460	Fanconi anemia pathway [PATH:ko03460]
ko09130	Environmental Information Processing	ko09131	Membrane transport	ko02010	ABC transporters [PATH:ko02010]
ko09130	Environmental Information Processing	ko09131	Membrane transport	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
ko09130	Environmental Information Processing	ko09131	Membrane transport	ko03070	Bacterial secretion system [PATH:ko03070]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko02020	Two-component system [PATH:ko02020]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04010	MAPK signaling pathway [PATH:ko04010]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04011	MAPK signaling pathway - yeast [PATH:ko04011]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04012	ErbB signaling pathway [PATH:ko04012]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04013	MAPK signaling pathway - fly [PATH:ko04013]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04014	Ras signaling pathway [PATH:ko04014]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04015	Rap1 signaling pathway [PATH:ko04015]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04016	MAPK signaling pathway - plant [PATH:ko04016]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04020	Calcium signaling pathway [PATH:ko04020]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04022	cGMP-PKG signaling pathway [PATH:ko04022]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04024	cAMP signaling pathway [PATH:ko04024]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04064	NF-kappa B signaling pathway [PATH:ko04064]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04066	HIF-1 signaling pathway [PATH:ko04066]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04068	FoxO signaling pathway [PATH:ko04068]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04070	Phosphatidylinositol signaling system [PATH:ko04070]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04072	Phospholipase D signaling pathway [PATH:ko04072]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04075	Plant hormone signal transduction [PATH:ko04075]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04150	mTOR signaling pathway [PATH:ko04150]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04151	PI3K-Akt signaling pathway [PATH:ko04151]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04152	AMPK signaling pathway [PATH:ko04152]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04310	Wnt signaling pathway [PATH:ko04310]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04330	Notch signaling pathway [PATH:ko04330]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04340	Hedgehog signaling pathway [PATH:ko04340]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04341	Hedgehog signaling pathway - fly [PATH:ko04341]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04350	TGF-beta signaling pathway [PATH:ko04350]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04370	VEGF signaling pathway [PATH:ko04370]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04371	Apelin signaling pathway [PATH:ko04371]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04390	Hippo signaling pathway [PATH:ko04390]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04391	Hippo signaling pathway - fly [PATH:ko04391]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04392	Hippo signaling pathway - multiple species [PATH:ko04392]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04630	Jak-STAT signaling pathway [PATH:ko04630]
ko09130	Environmental Information Processing	ko09132	Signal transduction	ko04668	TNF signaling pathway [PATH:ko04668]
ko09130	Environmental Information Processing	ko09133	Signaling molecules and interaction	ko04060	Cytokine-cytokine receptor interaction [PATH:ko04060]
ko09130	Environmental Information Processing	ko09133	Signaling molecules and interaction	ko04080	Neuroactive ligand-receptor interaction [PATH:ko04080]
ko09130	Environmental Information Processing	ko09133	Signaling molecules and interaction	ko04512	ECM-receptor interaction [PATH:ko04512]
ko09130	Environmental Information Processing	ko09133	Signaling molecules and interaction	ko04514	Cell adhesion molecules (CAMs) [PATH:ko04514]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04136	Autophagy - other [PATH:ko04136]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04137	Mitophagy - animal [PATH:ko04137]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04138	Autophagy - yeast [PATH:ko04138]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04139	Mitophagy - yeast [PATH:ko04139]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04140	Autophagy - animal [PATH:ko04140]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04142	Lysosome [PATH:ko04142]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04144	Endocytosis [PATH:ko04144]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04145	Phagosome [PATH:ko04145]
ko09140	Cellular Processes	ko09141	Transport and catabolism	ko04146	Peroxisome [PATH:ko04146]
ko09140	Cellular Processes	ko09142	Cell motility	ko02030	Bacterial chemotaxis [PATH:ko02030]
